area,lon,lat,num_bed,num_bath,bank,cafe,college,hospital,marketplace,medical_supply,parking,pharmacy,school,supermarket,university,price,point,pointPlus,pointPlus1,newprice
84,108.203687,16.016785,2,1,7,10,0,0,1,0,0,10,4,2,0,101249.4614,16,14700,1370,102619.4614
48,106.656791,10.864549,2,2,1,10,1,0,0,0,2,2,2,3,0,146488.5825,20,9000,800,147288.5825
35,105.792647,21.019835,3,3,10,10,1,0,4,0,2,10,10,7,3,122791.9,20,25200,2420,125211.9
50,106.703408,10.822682,2,2,1,10,2,0,2,0,5,5,3,5,1,185264.972,20,12300,1130,186394.972
47,105.817719,20.990112,5,4,1,10,0,1,2,1,0,10,10,8,0,288668.6773,20,18300,1730,290398.6773
44,105.851432,20.980033,4,3,9,10,1,0,2,0,2,10,10,6,0,142180.0948,20,22800,2180,144360.0948
22,106.742159,10.693674,2,1,4,10,0,0,1,0,0,5,4,3,0,29943.98966,15,12900,1190,31133.98966
22,106.656791,10.864549,2,2,1,10,1,0,0,0,2,2,2,3,0,63765.61827,20,9000,800,64565.61827
68,106.755473,10.835861,4,5,1,10,1,0,1,0,0,0,1,5,0,271434.7264,20,9000,800,272234.7264
70,106.739436,10.854675,4,4,0,10,0,0,0,0,1,1,1,0,0,232658.3369,20,6900,590,233248.3369
52,106.698242,10.745437,2,1,3,10,0,0,3,0,2,5,8,7,1,114174.9246,20,17700,1670,115844.9246
70,105.832491,20.992133,5,4,10,10,0,1,3,1,1,10,2,10,1,241275.3124,20,17400,1640,242915.3124
21,106.670337,10.779154,2,3,10,10,1,3,4,3,1,10,10,6,2,202498.9229,20,27900,2690,205188.9229
30,105.846139,20.975862,3,4,2,10,1,0,0,0,0,10,5,4,0,120637.6562,20,12300,1130,121767.6562
25,106.640568,10.835879,2,2,3,10,0,1,2,1,1,10,5,7,0,90478.24214,20,15000,1400,91878.24214
40,106.581335,10.814029,4,3,4,10,0,0,1,0,3,6,5,5,1,84015.51056,15,13800,1280,85295.51056
31,105.834108,21.008452,3,3,10,10,1,5,5,5,1,10,10,10,0,107712.193,20,30600,2960,110672.193
30,105.817719,20.990112,3,3,1,10,0,1,2,1,0,10,10,8,0,96940.97372,20,18300,1730,98670.97372
46,105.85219,21.041368,3,3,10,10,2,1,7,1,2,10,6,4,0,172339.5088,20,25800,2480,174819.5088
61,106.721336,10.84028,6,5,0,10,0,0,0,0,0,2,4,1,1,280051.7019,20,9600,860,280911.7019
43,108.206928,16.066511,2,2,10,10,1,0,1,0,0,10,7,6,0,62473.07195,16,19800,1880,64353.07195
36,106.379465,10.983186,3,2,0,2,0,0,0,0,0,0,0,0,0,75398.53511,15,1200,20,75418.53511
35,105.814674,20.99288,2,3,3,10,1,0,2,0,0,10,10,9,1,120637.6562,20,19200,1820,122457.6562
32,105.851777,20.998577,3,3,10,10,0,0,3,0,2,10,10,10,3,118483.4123,20,23700,2270,120753.4123
70,106.710613,10.81347,4,3,10,10,4,0,1,0,6,10,9,3,0,417923.3089,20,23400,2240,420163.3089
35,106.746704,10.730583,4,2,0,0,0,0,0,0,1,3,3,0,0,120637.6562,20,2700,170,120807.6562
52,105.700178,20.999249,3,2,0,1,0,0,0,0,0,1,1,1,0,292977.165,15,1500,50,293027.165
38,106.738134,10.701666,4,3,6,10,0,0,1,0,1,6,3,3,0,96940.97372,15,13200,1220,98160.97372
47,105.851432,20.980033,4,4,9,10,1,0,2,0,2,10,10,6,0,196897.8888,20,22800,2180,199077.8888
50,106.646852,20.818366,3,3,3,7,2,0,0,0,1,0,2,2,0,340370.5299,18,9000,800,341170.5299
32,105.700178,20.999249,3,2,0,1,0,0,0,0,0,1,1,1,0,75398.53511,15,1500,50,75448.53511
51,105.817719,20.990112,4,3,1,10,0,1,2,1,0,10,10,8,0,129254.6316,20,18300,1730,130984.6316
35,105.747933,20.974209,3,3,0,4,0,0,3,0,2,4,5,2,0,142180.0948,20,9600,860,143040.0948
45,105.812031,21.045093,5,5,10,10,0,6,3,6,0,10,10,6,2,180956.4843,20,29100,2810,183766.4843
91,106.692681,10.753682,2,2,4,10,4,1,3,1,2,7,9,4,2,180956.4843,20,22500,2150,183106.4843
30,106.694159,10.816153,2,2,10,10,0,1,3,1,1,10,7,10,1,60318.82809,20,21900,2090,62408.82809
30,106.738134,10.701666,3,2,6,10,0,0,1,0,1,6,3,3,0,58164.58423,15,13200,1220,59384.58423
45,106.692681,10.753682,5,3,4,10,4,1,3,1,2,7,9,4,2,213270.1422,20,22500,2150,215420.1422
68,105.746284,21.034697,5,4,0,3,0,0,1,0,0,6,4,4,0,409306.3335,20,6300,530,409836.3335
45,106.746704,10.730583,3,2,0,0,0,0,0,0,1,3,3,0,0,112020.6807,20,2700,170,112190.6807
45,105.85618,20.995127,4,4,8,10,0,0,1,0,3,10,9,2,2,170185.265,20,19800,1880,172065.265
60,106.596951,10.76963,2,2,0,10,0,0,0,0,0,1,2,3,0,131408.8755,20,7800,680,132088.8755
45,105.819723,21.0146,4,4,10,10,2,1,2,1,1,10,10,10,1,232658.3369,20,24900,2390,235048.3369
21,106.564656,10.664309,2,2,4,3,0,0,0,0,1,2,3,1,0,22404.13615,15,6900,590,22994.13615
34,105.700178,20.999249,3,3,0,1,0,0,0,0,0,1,1,1,0,116329.1685,15,1500,50,116379.1685
40,105.796193,21.023444,6,4,2,10,0,0,1,0,0,8,10,8,0,159414.0457,20,17100,1610,161024.0457
42,105.850162,21.010577,3,3,10,10,4,3,8,3,3,10,10,10,1,353295.9931,20,33300,3230,356525.9931
24,106.643736,10.770707,2,3,10,10,1,0,7,0,5,10,10,3,0,236966.8246,20,27900,2690,239656.8246
40,105.851777,20.998577,3,3,10,10,0,0,3,0,2,10,10,10,3,112020.6807,20,23700,2270,114290.6807
40,106.627359,10.792073,1,1,8,10,0,1,1,1,1,10,10,6,1,38776.38949,20,21600,2060,40836.38949
36,105.700178,20.999249,3,3,0,1,0,0,0,0,0,1,1,1,0,68935.80353,15,1500,50,68985.80353
32,105.839813,20.980718,4,4,10,10,1,0,0,0,4,10,5,7,0,150797.0702,20,17100,1610,152407.0702
32,106.666517,10.796181,4,3,10,10,0,5,2,5,2,10,10,10,1,262817.751,20,27300,2630,265447.751
25,105.838227,21.018657,3,2,10,10,0,2,1,2,1,10,10,10,0,86169.75442,20,23700,2270,88439.75442
28,105.807998,21.04851,2,2,10,10,0,2,3,2,0,10,10,7,2,103403.7053,20,25500,2450,105853.7053
50,105.806767,21.064315,4,4,10,10,2,4,1,4,1,10,6,6,1,297285.6527,20,23100,2210,299495.6527
57,108.20978,16.054776,3,3,3,10,0,3,1,3,1,8,6,3,0,120637.6562,16,16800,1580,122217.6562
44,106.739436,10.854675,2,2,0,10,0,0,0,0,1,1,1,0,0,72813.44248,20,6900,590,73403.44248
22,106.725605,10.726957,2,2,3,9,1,0,0,0,1,0,7,3,0,94786.72986,20,14100,1310,96096.72986
30,106.742159,10.693674,2,3,4,10,0,0,1,0,0,5,4,3,0,41792.33089,15,12900,1190,42982.33089
35,106.564656,10.664309,2,1,4,3,0,0,0,0,1,2,3,1,0,38991.81387,15,6900,590,39581.81387
20,106.564656,10.664309,2,1,4,3,0,0,0,0,1,2,3,1,0,51701.85265,15,6900,590,52291.85265
34,105.827219,21.020509,3,3,10,10,1,0,1,0,0,10,10,10,2,124946.1439,20,22500,2150,127096.1439
81,106.739436,10.854675,2,1,0,10,0,0,0,0,1,1,1,0,0,114174.9246,20,6900,590,114764.9246
57,106.496703,10.983878,3,3,0,5,0,1,0,1,0,2,3,1,0,198190.4352,15,6600,560,198750.4352
30,106.596951,10.76963,3,4,0,10,0,0,0,0,0,1,2,3,0,73675.14003,20,7800,680,74355.14003
50,105.796193,21.023444,5,4,2,10,0,0,1,0,0,8,10,8,0,232658.3369,20,17100,1610,234268.3369
30,105.85618,20.995127,4,3,8,10,0,0,1,0,3,10,9,2,2,94786.72986,20,19800,1880,96666.72986
45,105.817719,20.990112,3,2,1,10,0,1,2,1,0,10,10,8,0,288668.6773,20,18300,1730,290398.6773
38,105.818783,20.998849,3,2,10,10,4,0,2,0,0,10,10,8,1,142180.0948,20,25200,2420,144600.0948
36,105.700178,20.999249,3,4,0,1,0,0,0,0,0,1,1,1,0,129254.6316,15,1500,50,129304.6316
33,106.642525,10.785318,5,4,7,10,0,1,0,1,0,10,10,9,1,120206.8074,20,20100,1910,122116.8074
48,106.578334,10.795392,2,2,0,10,0,1,2,1,1,9,2,3,0,56010.34037,15,10500,950,56960.34037
35,105.838227,21.018657,3,2,10,10,0,2,1,2,1,10,10,10,0,116329.1685,20,23700,2270,118599.1685
40,106.596951,10.76963,3,4,0,10,0,0,0,0,0,1,2,3,0,71520.89617,20,7800,680,72200.89617
45,106.722136,10.734963,4,4,6,10,1,4,3,4,5,7,8,7,0,171477.8113,20,23700,2270,173747.8113
55,105.815394,21.008341,2,3,10,10,2,2,1,2,1,10,10,5,0,159414.0457,20,24900,2390,161804.0457
48,106.678735,10.818685,3,2,10,10,1,5,3,5,1,10,10,8,1,148642.8264,20,28800,2780,151422.8264
54,106.658893,10.784068,4,3,6,10,1,3,4,3,0,10,10,4,1,280051.7019,20,25500,2450,282501.7019
38,106.620669,10.891066,2,2,0,10,0,0,0,0,0,5,0,1,0,53856.09651,15,6000,500,54356.09651
36,105.799102,20.997915,5,4,10,10,1,2,0,2,0,7,6,10,2,176647.9966,20,19800,1880,178527.9966
40,106.656791,10.864549,3,3,1,10,1,0,0,0,2,2,2,3,0,72813.44248,20,9000,800,73613.44248
64,106.661082,10.839881,4,5,10,10,0,0,2,0,2,10,6,10,0,336062.0422,20,19200,1820,337882.0422
45,105.85618,20.995127,4,4,8,10,0,0,1,0,3,10,9,2,2,284360.1896,20,19800,1880,286240.1896
80,106.742159,10.693674,4,3,4,10,0,0,1,0,0,5,4,3,0,183110.7281,15,12900,1190,184300.7281
35,105.865283,20.997555,4,4,10,10,1,2,2,2,1,8,6,4,1,159414.0457,20,21600,2060,161474.0457
40,106.656791,10.864549,3,3,1,10,1,0,0,0,2,2,2,3,0,67643.25722,20,9000,800,68443.25722
48,106.643578,10.848148,4,3,2,10,0,0,1,0,0,10,10,5,0,193451.0987,20,17100,1610,195061.0987
22,105.700178,20.999249,3,4,0,1,0,0,0,0,0,1,1,1,0,129254.6316,15,1500,50,129304.6316
48,106.645309,10.745991,4,3,10,10,0,1,4,1,3,10,10,6,2,196036.1913,20,25500,2450,198486.1913
35,105.817719,20.990112,3,3,1,10,0,1,2,1,0,10,10,8,0,129254.6316,20,18300,1730,130984.6316
46,105.814073,20.986316,4,3,1,10,1,0,3,0,0,10,9,5,0,185264.972,20,18000,1700,186964.972
38,106.640568,10.835879,2,3,3,10,0,1,2,1,1,10,5,7,0,142180.0948,20,15000,1400,143580.0948
36,105.700178,20.999249,4,6,0,1,0,0,0,0,0,1,1,1,0,154243.8604,15,1500,50,154293.8604
33,105.799102,20.997915,3,3,10,10,1,2,0,2,0,7,6,10,2,122791.9,20,19800,1880,124671.9
35,105.838227,21.018657,4,3,10,10,0,2,1,2,1,10,10,10,0,137871.6071,20,23700,2270,140141.6071
22,105.838227,21.018657,3,2,10,10,0,2,1,2,1,10,10,10,0,94786.72986,20,23700,2270,97056.72986
35,105.862821,21.01098,4,3,10,10,0,1,4,1,2,10,9,6,1,133563.1193,20,24600,2360,135923.1193
40,106.682556,10.798866,2,2,10,10,7,3,1,3,0,10,10,5,1,236966.8246,20,28800,2780,239746.8246
34,106.704641,10.79858,2,1,10,10,3,0,3,0,1,8,10,3,4,137871.6071,20,25500,2450,140321.6071
25,106.672313,10.774088,2,2,10,10,5,6,2,6,2,10,10,7,4,236966.8246,20,31200,3020,239986.8246
71,105.780292,21.062739,4,4,1,7,0,0,4,0,0,10,4,5,2,168031.0211,20,12000,1100,169131.0211
52,105.839813,20.980718,4,3,10,10,1,0,0,0,4,10,5,7,0,232658.3369,20,17100,1610,234268.3369
25,106.673374,10.769611,2,2,10,10,6,7,8,7,2,10,10,10,2,131408.8755,20,38100,3710,135118.8755
21,106.728364,10.737603,1,1,5,10,0,1,0,1,7,8,9,5,0,62473.07195,20,18000,1700,64173.07195
84,106.627359,10.792073,3,2,8,10,0,1,1,1,1,10,10,6,1,236966.8246,20,21600,2060,239026.8246
64,106.739436,10.854675,4,5,0,10,0,0,0,0,1,1,1,0,0,267126.2387,20,6900,590,267716.2387
45,105.700178,20.999249,4,4,0,1,0,0,0,0,0,1,1,1,0,172339.5088,15,1500,50,172389.5088
56,106.692681,10.753682,2,2,4,10,4,1,3,1,2,7,9,4,2,58164.58423,20,22500,2150,60314.58423
48,105.801017,20.978581,3,3,5,10,0,0,1,0,0,7,4,2,0,129254.6316,15,13500,1250,130504.6316
80,106.819337,10.821872,3,2,1,3,0,0,1,0,0,1,0,0,0,62473.07195,20,3300,230,62703.07195
60,105.717436,21.08624,5,6,0,7,0,0,0,0,1,2,4,0,0,183110.7281,15,7800,680,183790.7281
60,105.700178,20.999249,2,2,0,1,0,0,0,0,0,1,1,1,0,129254.6316,15,1500,50,129304.6316
31,105.85618,20.995127,4,4,8,10,0,0,1,0,3,10,9,2,2,137871.6071,20,19800,1880,139751.6071
48,105.854117,20.985104,4,4,10,10,0,1,0,1,3,8,10,9,1,124946.1439,20,21900,2090,127036.1439
50,105.858329,21.011914,5,4,10,10,1,3,7,3,0,10,10,6,1,193881.9474,20,30600,2960,196841.9474
40,106.61688,10.653834,1,1,0,4,0,0,0,0,0,1,0,0,0,43084.87721,15,2400,140,43224.87721
31,108.171965,16.078549,1,1,1,10,0,0,1,0,0,0,2,3,2,61180.52564,16,9300,830,62010.52564
30,106.597399,10.764623,3,3,0,10,0,0,0,0,0,2,3,5,0,70228.34985,20,8700,770,70998.34985
30,105.799235,21.032046,3,3,10,10,1,1,3,1,1,10,10,8,3,150797.0702,20,25200,2420,153217.0702
36,106.676009,10.797401,4,3,10,10,3,8,2,8,5,10,10,10,3,426540.2844,20,31800,3080,429620.2844
30,105.845871,20.989286,3,4,10,10,0,0,4,0,1,10,10,8,1,206807.4106,20,24600,2360,209167.4106
40,105.817719,20.990112,6,4,1,10,0,1,2,1,0,10,10,8,0,196036.1913,20,18300,1730,197766.1913
52,106.656791,10.864549,4,5,1,10,1,0,0,0,2,2,2,3,0,199913.8302,20,9000,800,200713.8302
36,105.85548,21.009572,4,4,10,10,1,2,10,2,0,10,10,7,1,180956.4843,20,32400,3140,184096.4843
31,105.753801,20.896008,1,1,0,0,0,0,1,0,0,2,1,0,0,90478.24214,15,1800,80,90558.24214
90,106.703991,10.825675,4,3,0,10,2,0,1,0,6,4,4,8,1,409306.3335,20,11700,1070,410376.3335
40,106.692159,10.828284,2,1,8,10,3,0,0,0,1,7,8,4,2,66781.55967,20,19800,1880,68661.55967
36,106.665175,10.84585,2,2,10,10,2,1,3,1,1,10,10,8,0,150797.0702,20,25800,2480,153277.0702
21,106.589145,10.759282,1,1,2,10,0,0,2,0,0,5,6,9,0,56010.34037,20,14400,1340,57350.34037
85,106.692681,10.753682,4,4,4,10,4,1,3,1,2,7,9,4,2,133563.1193,20,22500,2150,135713.1193
39,105.700178,20.999249,5,3,0,1,0,0,0,0,0,1,1,1,0,198190.4352,15,1500,50,198240.4352
44,105.700178,20.999249,5,5,0,1,0,0,0,0,0,1,1,1,0,219732.8738,15,1500,50,219782.8738
37,105.84515,20.990421,4,3,10,10,2,0,4,0,1,10,10,9,1,228349.8492,20,25800,2480,230829.8492
55,105.700178,20.999249,4,3,0,1,0,0,0,0,0,1,1,1,0,215424.386,15,1500,50,215474.386
37,106.754462,10.790288,3,4,6,10,0,0,2,0,1,2,7,3,0,159414.0457,20,17700,1670,161084.0457
40,106.618912,10.746423,2,2,10,10,0,0,1,0,3,8,5,3,0,127100.3878,20,17400,1640,128740.3878
71,105.700178,20.999249,4,3,0,1,0,0,0,0,0,1,1,1,0,370529.944,15,1500,50,370579.944
98,105.842246,21.056671,4,5,0,7,0,0,1,0,0,8,3,2,0,353295.9931,20,7800,680,353975.9931
60,106.745698,10.853564,4,5,0,10,0,0,1,0,0,6,8,2,0,249892.2878,20,14100,1310,251202.2878
31,105.85618,20.995127,3,3,8,10,0,0,1,0,3,10,9,2,2,150797.0702,20,19800,1880,152677.0702
22,105.810451,21.038008,4,3,10,10,1,3,4,3,0,10,10,9,0,107712.193,20,27900,2690,110402.193
27,106.699107,10.754608,2,2,10,10,0,3,6,3,0,2,8,7,1,155105.5579,20,27300,2630,157735.5579
55,105.81497,20.983622,4,4,1,10,1,1,5,1,2,10,6,8,0,133563.1193,20,18000,1700,135263.1193
44,105.700178,20.999249,4,4,0,1,0,0,0,0,0,1,1,1,0,202498.9229,15,1500,50,202548.9229
34,105.700178,20.999249,2,2,0,1,0,0,0,0,0,1,1,1,0,62817.75097,15,1500,50,62867.75097
35,105.814674,20.99288,3,3,3,10,1,0,2,0,0,10,10,9,1,116329.1685,20,19200,1820,118149.1685
30,106.688135,10.806669,2,2,10,10,2,2,3,2,0,10,10,9,0,68504.95476,20,26700,2570,71074.95476
35,105.700178,20.999249,4,5,0,1,0,0,0,0,0,1,1,1,0,150797.0702,15,1500,50,150847.0702
46,105.818783,20.998849,10,6,10,10,4,0,2,0,0,10,10,8,1,183110.7281,20,25200,2420,185530.7281
90,106.741319,10.69248,3,3,5,10,0,0,0,0,0,6,5,3,0,77552.77897,15,13500,1250,78802.77897
33,106.655264,10.760118,4,3,10,10,3,4,5,4,2,10,10,6,0,267126.2387,20,30900,2990,270116.2387
35,105.863234,20.989274,3,3,3,10,1,0,3,0,0,10,7,6,1,150797.0702,20,17400,1640,152437.0702
59,105.700178,20.999249,1,1,0,1,0,0,0,0,0,1,1,1,0,73244.29125,15,1500,50,73294.29125
43,105.834108,21.008452,3,2,10,10,1,5,5,5,1,10,10,10,0,112020.6807,20,30600,2960,114980.6807
26,105.817719,20.990112,3,3,1,10,0,1,2,1,0,10,10,8,0,96940.97372,20,18300,1730,98670.97372
40,105.792647,21.019835,4,3,10,10,1,0,4,0,2,10,10,7,3,172339.5088,20,25200,2420,174759.5088
22,105.890331,20.979671,3,3,2,9,0,0,0,0,5,7,1,3,0,58164.58423,20,7500,650,58814.58423
34,106.656791,10.864549,1,1,1,10,1,0,0,0,2,2,2,3,0,98664.36881,20,9000,800,99464.36881
74,106.634436,10.790903,5,5,10,10,2,0,2,0,1,10,10,6,0,413614.8212,20,24000,2300,415914.8212
25,105.85618,20.995127,3,4,8,10,0,0,1,0,3,10,9,2,2,122791.9,20,19800,1880,124671.9
80,106.737205,10.696915,4,5,8,10,0,0,1,0,0,3,3,2,0,249892.2878,15,14400,1340,251232.2878
34,105.700178,20.999249,3,1,0,1,0,0,0,0,0,1,1,1,0,150797.0702,15,1500,50,150847.0702
45,106.628115,10.737243,4,5,2,10,0,0,0,0,1,9,6,5,0,180956.4843,20,12600,1160,182116.4843
39,105.837728,20.966381,4,4,0,6,0,0,2,0,3,7,4,1,0,137871.6071,20,9000,800,138671.6071
45,105.844675,20.983835,4,4,10,10,1,1,0,1,1,10,8,10,1,215424.386,20,20700,1970,217394.386
49,105.80754,20.994388,3,3,10,10,3,0,4,0,3,10,5,6,5,155105.5579,20,21900,2090,157195.5579
35,105.700178,20.999249,3,4,0,1,0,0,0,0,0,1,1,1,0,129254.6316,15,1500,50,129304.6316
41,106.692681,10.753682,2,2,4,10,4,1,3,1,2,7,9,4,2,193881.9474,20,22500,2150,196031.9474
50,106.596951,10.76963,4,5,0,10,0,0,0,0,0,1,2,3,0,150797.0702,20,7800,680,151477.0702
50,106.73053,10.69601,4,3,0,2,0,0,0,0,1,1,0,0,0,163722.5334,15,1200,20,163742.5334
35,105.700178,20.999249,3,4,0,1,0,0,0,0,0,1,1,1,0,124946.1439,15,1500,50,124996.1439
34,105.799102,20.997915,4,3,10,10,1,2,0,2,0,7,6,10,2,129254.6316,20,19800,1880,131134.6316
30,105.801566,21.075116,2,2,2,1,0,0,0,0,1,3,4,2,0,72382.59371,20,5400,440,72822.59371
29,106.682819,10.842986,2,2,0,10,0,0,0,0,1,2,7,1,0,114174.9246,20,12300,1130,115304.9246
30,106.666517,10.796181,5,2,10,10,0,5,2,5,2,10,10,10,1,187419.2159,20,27300,2630,190049.2159
32,106.634549,10.745215,2,2,10,10,0,2,1,2,1,10,10,10,0,137871.6071,20,23700,2270,140141.6071
25,106.746704,10.730583,2,2,0,0,0,0,0,0,1,3,3,0,0,68935.80353,20,2700,170,69105.80353
50,106.728364,10.737603,1,1,5,10,0,1,0,1,7,8,9,5,0,336062.0422,20,18000,1700,337762.0422
64,106.692681,10.753682,2,2,4,10,4,1,3,1,2,7,9,4,2,22404.13615,20,22500,2150,24554.13615
68,106.742907,10.843064,2,2,0,10,0,0,2,0,0,1,6,1,0,180956.4843,20,13200,1220,182176.4843
35,105.831606,20.965413,4,3,2,10,3,0,3,0,2,10,9,10,0,129254.6316,20,19800,1880,131134.6316
50,105.85618,20.995127,4,3,8,10,0,0,1,0,3,10,9,2,2,224041.3615,20,19800,1880,225921.3615
75,106.661109,10.772612,2,3,10,10,0,5,2,5,2,10,10,9,7,271434.7264,20,27300,2630,274064.7264
35,105.700178,20.999249,3,2,0,1,0,0,0,0,0,1,1,1,0,137871.6071,15,1500,50,137921.6071
60,106.692681,10.753682,2,2,4,10,4,1,3,1,2,7,9,4,2,86169.75442,20,22500,2150,88319.75442
32,106.597399,10.764623,3,3,0,10,0,0,0,0,0,2,3,5,0,84877.2081,20,8700,770,85647.2081
50,106.827584,10.808373,3,3,0,2,0,1,0,1,0,0,0,0,0,92632.486,20,2100,110,92742.486
24,106.742842,10.68767,2,2,4,10,0,0,0,0,0,3,4,1,0,49547.60879,15,12000,1100,50647.60879
29,105.822031,21.012908,3,4,10,10,2,2,2,2,0,10,10,10,0,163722.5334,20,25800,2480,166202.5334
70,106.656791,10.864549,3,3,1,10,1,0,0,0,2,2,2,3,0,72382.59371,20,9000,800,73182.59371
82,106.597399,10.764623,4,4,0,10,0,0,0,0,0,2,3,5,0,271434.7264,20,8700,770,272204.7264
83,106.758773,10.779981,2,2,6,10,0,0,2,0,0,4,0,2,1,161568.2895,20,11400,1040,162608.2895
45,105.799102,20.997915,4,4,10,10,1,2,0,2,0,7,6,10,2,168031.0211,20,19800,1880,169911.0211
31,105.85618,20.995127,3,3,8,10,0,0,1,0,3,10,9,2,2,150797.0702,20,19800,1880,152677.0702
36,105.839813,20.980718,4,5,10,10,1,0,0,0,4,10,5,7,0,123222.7488,20,17100,1610,124832.7488
75,106.6487,10.86921,2,2,4,10,0,0,2,0,2,6,5,1,0,187419.2159,20,14700,1370,188789.2159
57,105.700178,20.999249,4,4,0,1,0,0,0,0,0,1,1,1,0,301594.1405,15,1500,50,301644.1405
60,105.700178,20.999249,4,4,0,1,0,0,0,0,0,1,1,1,0,292977.165,15,1500,50,293027.165
33,105.712043,21.101884,4,3,0,2,0,0,0,0,0,0,0,0,0,128823.7829,15,1200,20,128843.7829
52,106.671028,10.832526,4,4,10,10,0,0,0,0,0,10,10,1,2,124946.1439,20,21000,2000,126946.1439
40,106.859132,10.811466,4,3,0,9,0,0,2,0,0,0,4,1,0,118483.4123,20,10800,980,119463.4123
31,106.615882,10.795695,4,4,0,10,0,0,1,0,1,4,3,2,0,133563.1193,20,9600,860,134423.1193
80,106.728364,10.737603,4,5,5,10,0,1,0,1,7,8,9,5,0,239121.0685,20,18000,1700,240821.0685
35,106.700423,10.812368,2,2,10,10,0,1,0,1,5,4,6,10,1,146057.7337,20,18300,1730,147787.7337
50,105.793081,21.043252,6,4,10,10,1,0,3,0,0,10,10,5,5,366221.4563,20,24300,2330,368551.4563
45,105.865283,20.997555,6,5,10,10,1,2,2,2,1,8,6,4,1,168031.0211,20,21600,2060,170091.0211
40,106.671028,10.832526,4,3,10,10,0,0,0,0,0,10,10,1,2,150797.0702,20,21000,2000,152797.0702
50,105.806767,21.064315,3,4,10,10,2,4,1,4,1,10,6,6,1,277897.458,20,23100,2210,280107.458
38,106.682556,10.798866,2,3,10,10,7,3,1,3,0,10,10,5,1,232658.3369,20,28800,2780,235438.3369
54,106.728364,10.737603,4,4,5,10,0,1,0,1,7,8,9,5,0,256355.0194,20,18000,1700,258055.0194
43,106.728364,10.737603,4,2,5,10,0,1,0,1,7,8,9,5,0,155105.5579,20,18000,1700,156805.5579
61,106.597399,10.764623,2,2,0,10,0,0,0,0,0,2,3,5,0,150797.0702,20,8700,770,151567.0702
39,105.700178,20.999249,5,3,0,1,0,0,0,0,0,1,1,1,0,198190.4352,15,1500,50,198240.4352
60,106.728364,10.737603,3,1,5,10,0,1,0,1,7,8,9,5,0,172339.5088,20,18000,1700,174039.5088
38,106.634549,10.745215,2,2,10,10,0,2,1,2,1,10,10,10,0,120637.6562,20,23700,2270,122907.6562
50,105.85618,20.995127,4,3,8,10,0,0,1,0,3,10,9,2,2,224041.3615,20,19800,1880,225921.3615
43,105.85618,20.995127,3,3,8,10,0,0,1,0,3,10,9,2,2,159414.0457,20,19800,1880,161294.0457
75,108.154728,16.053046,4,4,0,6,0,0,1,0,0,6,2,0,0,236966.8246,16,6300,530,237496.8246
37,105.700178,20.999249,3,3,0,1,0,0,0,0,0,1,1,1,0,180956.4843,15,1500,50,181006.4843
32,105.833404,21.025742,3,3,10,10,1,3,1,3,2,10,10,10,3,129254.6316,20,25200,2420,131674.6316
